"das Haustier","pet","die Haustiere","n","n","AQA_German_GCSE_Vocab_List::03_Pets"
"der Hund","dog","die Hunde","noun","masculine","AQA_German_GCSE_Vocab_List::03_Pets"
"das Kaninchen","rabbit","die Kaninchen","n","n","AQA_German_GCSE_Vocab_List::03_Pets"
"die Katze","cat","die Katzen","n","f","AQA_German_GCSE_Vocab_List::03_Pets"
"die Maus","mouse","die Mäuse","noun","f","AQA_German_GCSE_Vocab_List::03_Pets"
"das Meerschweinchen","guinea pig","","","","AQA_German_GCSE_Vocab_List::03_Pets"
"das Pferd","horse","die Pferde","noun","n","AQA_German_GCSE_Vocab_List::03_Pets"
"die Schildkröte","turtle","","","","AQA_German_GCSE_Vocab_List::03_Pets"
"das Tier","animal","die Tiere","n","n","AQA_German_GCSE_Vocab_List::03_Pets"
"der Vogel","bird","die Vögel","n","","AQA_German_GCSE_Vocab_List::03_Pets"
"der Wellensittich","the budgie","","","","AQA_German_GCSE_Vocab_List::03_Pets"
"das Aussehen","appearance","no plural","n","n","AQA_German_GCSE_Vocab_List::04_Appearance"
"die Augen","eyes","","","","AQA_German_GCSE_Vocab_List::04_Appearance"
"der Bart","beard","","","","AQA_German_GCSE_Vocab_List::04_Appearance"
"die Brille","glasses","die Brillen","noun","f","AQA_German_GCSE_Vocab_List::04_Appearance"
"dick","thick/fat","","adjective","","AQA_German_GCSE_Vocab_List::04_Appearance"
"dünn","thin","","adj","","AQA_German_GCSE_Vocab_List::04_Appearance"
"glatt","smooth","","adj","","AQA_German_GCSE_Vocab_List::04_Appearance"
"die Glatze","bald head","die Glatzen","n","f","AQA_German_GCSE_Vocab_List::04_Appearance"
"groß","grand, heavy, high","","","","AQA_German_GCSE_Vocab_List::04_Appearance"
"gutaussehend","attractive, good-looking","","adj","","AQA_German_GCSE_Vocab_List::04_Appearance"
"die Haare","hairs","","","","AQA_German_GCSE_Vocab_List::04_Appearance"
"hässlich","ugly","","adjective","","AQA_German_GCSE_Vocab_List::04_Appearance"
"hübsch","pretty","","adjective","","AQA_German_GCSE_Vocab_List::04_Appearance"
"klein","small/short","","","","AQA_German_GCSE_Vocab_List::04_Appearance"
"kurz","short","","adj;  adv","","AQA_German_GCSE_Vocab_List::04_Appearance"
"lang","long","","adjective; adverb","","AQA_German_GCSE_Vocab_List::04_Appearance"
"lockig","curly","","","","AQA_German_GCSE_Vocab_List::04_Appearance"
"mittelgroß","medium height","","","","AQA_German_GCSE_Vocab_List::04_Appearance"
"schlank","slim","","adj; adv","","AQA_German_GCSE_Vocab_List::04_Appearance"
"der Schnurrbart","moustache","die Schnurrbärte","n","m","AQA_German_GCSE_Vocab_List::04_Appearance"
"schon","already","","adverb","","AQA_German_GCSE_Vocab_List::04_Appearance"
"wellig","wavy","","","","AQA_German_GCSE_Vocab_List::04_Appearance"
"aktiv","active","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"angeberisch","boastful","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"böse","evil","","adjective","","AQA_German_GCSE_Vocab_List::05_Personality"
"doof","stupid, dumb","","adj","","AQA_German_GCSE_Vocab_List::05_Personality"
"dumm","dumb","","adj; adv","","AQA_German_GCSE_Vocab_List::05_Personality"
"egoistisch","selfish","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"eifersüchtig","jealous","","Adjektiv","","AQA_German_GCSE_Vocab_List::05_Personality"
"eingebildet","smug","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"ehrlich","honest","","adjective; adverb","","AQA_German_GCSE_Vocab_List::05_Personality"
"ernst","serious","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"faul","lazy","","adj","","AQA_German_GCSE_Vocab_List::05_Personality"
"fleißig","hardworking","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"frech","cheeky, impudent","","adjective","","AQA_German_GCSE_Vocab_List::05_Personality"
"freundlich","friendly","","adjective; adverb","","AQA_German_GCSE_Vocab_List::05_Personality"
"geduldig","patient","","adj;  adv","","AQA_German_GCSE_Vocab_List::05_Personality"
"gemein","mean","","adj; adv","","AQA_German_GCSE_Vocab_List::05_Personality"
"glücklich","happy","","adj","","AQA_German_GCSE_Vocab_List::05_Personality"
"großzügig","generous","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"gut gelaunt","easy-going","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"hilfsbereit","helpful","","adj","","AQA_German_GCSE_Vocab_List::05_Personality"
"höflich","polite","","adj","","AQA_German_GCSE_Vocab_List::05_Personality"
"intelligent","intelligent","","adj; adv","","AQA_German_GCSE_Vocab_List::05_Personality"
"klug","clever","","adjective, adverb","","AQA_German_GCSE_Vocab_List::05_Personality"
"komisch","funny (1)","","adj; adv","","AQA_German_GCSE_Vocab_List::05_Personality"
"launisch","moody","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"laut","loud","","prep","","AQA_German_GCSE_Vocab_List::05_Personality"
"leise","quiet","leiser, am leisesten","adjective, adverb","","AQA_German_GCSE_Vocab_List::05_Personality"
"lieb","dear","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"lustig","funny (2)","","adj","","AQA_German_GCSE_Vocab_List::05_Personality"
"mies","rotten","","adjective","","AQA_German_GCSE_Vocab_List::05_Personality"
"nett","nice","","adj; adv","","AQA_German_GCSE_Vocab_List::05_Personality"
"neugierig","curious","","adjective","","AQA_German_GCSE_Vocab_List::05_Personality"
"lebhaft","lively","","adj; adv","","AQA_German_GCSE_Vocab_List::05_Personality"
"schüchtern","shy","","adj","","AQA_German_GCSE_Vocab_List::05_Personality"
"selbstbewusst","self-confident","","adj","","AQA_German_GCSE_Vocab_List::05_Personality"
"sportlich","athletic","","adj","","AQA_German_GCSE_Vocab_List::05_Personality"
"stolz","proud","","adjective; adverb","","AQA_German_GCSE_Vocab_List::05_Personality"
"streng","strict","","adjective","","AQA_German_GCSE_Vocab_List::05_Personality"
"sympathisch","likeable","","adj; adv","","AQA_German_GCSE_Vocab_List::05_Personality"
"unternehmungslustig","adventurous","","","","AQA_German_GCSE_Vocab_List::05_Personality"
"Januar","January","","noun","masculine","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Februar","February","","n","","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"März","March","","noun","masculine","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"April","April","","","","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Mai","May","","noun","masculine","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Juni","June","","noun","masculine","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Juli","July","","noun","masculine","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"August","August","","","","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"September","September","","noun","masculine","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Oktober","October","","noun","masculine","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"November","November","","","","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Dezember","December","","noun","masculine","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Montag","Monday","","Monday","","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Dienstag","Tuesday","","","","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Mittwoch","Wednesday","","noun","masculine","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Donnerstag","Thursday","","","","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Freitag","Friday","","","","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Samstag","Saturday","","","","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"Sonntag","Sunday","","","","AQA_German_GCSE_Vocab_List::06_Months_and_Days_of_the_Week"
"der Frühling","spring","die Frühlinge","n","m","AQA_German_GCSE_Vocab_List::07_Seasons"
"der Sommer","summer","die Sommer","n","m","AQA_German_GCSE_Vocab_List::07_Seasons"
"der Herbst","autumn","die Herbste","noun","masculine","AQA_German_GCSE_Vocab_List::07_Seasons"
"der Winter","Winter","die Winter","n","m","AQA_German_GCSE_Vocab_List::07_Seasons"
"der Feiertag","public holiday","die Feiertage","n","m","AQA_German_GCSE_Vocab_List::08_General_Time"
"die Ferien","holidays","-","n","pl","AQA_German_GCSE_Vocab_List::08_General_Time"
"das Jahr","year","die Jahre","noun","n","AQA_German_GCSE_Vocab_List::08_General_Time"
"die Jahreszeit","season","","","","AQA_German_GCSE_Vocab_List::08_General_Time"
"der Monat","month","die Monate","n","m","AQA_German_GCSE_Vocab_List::08_General_Time"
"das Neujahr","New Year","","","","AQA_German_GCSE_Vocab_List::08_General_Time"
"das Ostern","Easter","","","","AQA_German_GCSE_Vocab_List::08_General_Time"
"das Silvester","New Year's Eve","","","","AQA_German_GCSE_Vocab_List::08_General_Time"
"der Tag","day","die Tage","noun","masculine","AQA_German_GCSE_Vocab_List::08_General_Time"
"das Weihnachten","Christmas","","noun","","AQA_German_GCSE_Vocab_List::08_General_Time"
"die Woche","week","die Wochen","n","f","AQA_German_GCSE_Vocab_List::08_General_Time"
"das Wochenende","weekend","weekend","","","AQA_German_GCSE_Vocab_List::08_General_Time"
"blau","blue","","adj; adv","","AQA_German_GCSE_Vocab_List::09_Colours"
"blond","blonde","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"braun","brown","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"bunt","colourful","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"dunkel","dark","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"die Farbe","color","die Farben","n","f","AQA_German_GCSE_Vocab_List::09_Colours"
"gelb","yellow","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"grau","grey","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"grün","green","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"hell","bright/light","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"lila","lilac/purple","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"orange","orange (colour)","","","","AQA_German_GCSE_Vocab_List::09_Colours"
"rosa","pink","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"rot","red","","adj","none","AQA_German_GCSE_Vocab_List::09_Colours"
"schwarz","black","","adj","","AQA_German_GCSE_Vocab_List::09_Colours"
"weiß","white","","","","AQA_German_GCSE_Vocab_List::09_Colours"
"der Durst","thirst","","noun","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"durstig","thirsty","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"die Gabel","fork","die Gabeln","n","f","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"das Getränk","drink","die Getränke","n","n","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"das Geschirr","china, dishes","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"das Glas","glass","die Gläser","noun","neuter","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"die Hauptspeise","main course","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"der Hunger","hunger","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"hungrig","hungry","","adj","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"der Imbiss","snack","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"die Lebensmittel","groceries","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"der Löffel","spoon","die Löffel","n","m","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"das Menü","menu (1)","","noun","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"das Messer","knife","die Messer","n","n","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"der Nachtisch","dessert; pudding","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"die Portion","portion","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"probieren","to try","","v","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"das Rezept","recipe","","noun","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"die Selbstbedienung","self-service","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"die Speisekarte","menu (2)","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"das Tagesmenü","menu of the day","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"die Tasse","cup","die Tassen","n","f","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"der Teller","plate","die Teller","noun","m","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"die Vorspeise","appetizer; starter","","","","AQA_German_GCSE_Vocab_List::10_Food_and_Drink:_General"
"die Ananas","pineapple","die Ananas","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"der Apfel","apple","","","","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Apfelsine","orange (fruit)","","","","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Aprikose","apricot","die Aprikosen","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Banane","banana","die Bananen","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Birne","pear","die Birnen","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"der Blumenkohl","cauliflower","","","","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Bohne","bean","die Bohnen","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"der Champignon","mushroom","mushroom","","","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Erbse","pea","die Erbsen","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Erdbeere","strawberry","","","","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"das Gemüse","vegetables","","n","n","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Gurke","cucumber","","","","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Himbeere","raspberry","die Himbeeren","noun","feminine","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Karotte","carrot","die Karotten","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Kartoffel","potato","die Kartoffeln","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Kirsche","cherry","die Kirschen","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"der Kohl","cabbage","die Kohle","n","m","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Limone","lime","die Limonen","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"das Obst","fruit","-","n","n","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Orange","orange","die Orangen","noun","feminine","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"der Pfirsich","peach","die Pfirsiche","n","m","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"der Pilz","mushroom (fungus)","","","","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"der Salat","salad","die Salate","n","m","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Traube","grape","die Trauben","noun","feminine","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Tomate","tomato","die Tomaten","noun","feminine","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Zitrone","lemon","die Zitronen","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"die Zwiebel","onion","die Zwiebeln","n","f","AQA_German_GCSE_Vocab_List::11_Fruit_and_Vegetables"
"der Apfelsaft","apple juice","","","","AQA_German_GCSE_Vocab_List::12_Drink"
"das Bier","beer","die Biere","noun","n","AQA_German_GCSE_Vocab_List::12_Drink"
"die Cola","cola","","","","AQA_German_GCSE_Vocab_List::12_Drink"
"der Fruchtsaft","fruit juice","","","","AQA_German_GCSE_Vocab_List::12_Drink"
"die heiße Schokolade","hot chocolate","","","","AQA_German_GCSE_Vocab_List::12_Drink"
"der Kaffee","coffee","die Kaffees","noun","masculine","AQA_German_GCSE_Vocab_List::12_Drink"
"die Limonade","lemonade","","","","AQA_German_GCSE_Vocab_List::12_Drink"
"die Milch","milk","no plural","n","f","AQA_German_GCSE_Vocab_List::12_Drink"
"das Mineralwasser","mineral water","","noun","","AQA_German_GCSE_Vocab_List::12_Drink"
"der Orangensaft","orange juice","die Orangensäfte","noun","masculine","AQA_German_GCSE_Vocab_List::12_Drink"
"der Sprudel","fizzy mineral water","die Sprudel","n","m","AQA_German_GCSE_Vocab_List::12_Drink"
"der Tee","tea","die Tees","noun","masculine","AQA_German_GCSE_Vocab_List::12_Drink"
"das Wasser","water","die Wasser, die Wässer","noun","neuter","AQA_German_GCSE_Vocab_List::12_Drink"
"der Wein","wine","die Weine","n","m","AQA_German_GCSE_Vocab_List::12_Drink"
"der Aufschnitt","cold cuts","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das belegte Brötchen","filled roll","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Bonbon","the candy, sweet","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Butterbrot","sandwich","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Bratensaft","gravy","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Bratkartoffeln","fried potatoes","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Bratwurst","bratwurst","","noun","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Braten","a roast","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Brot","bread","die Brote","n","n","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Brötchen","bread roll","die Brötchen","n","n","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Butter","butter","-","n","f","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Currywurst","curried sausage","","noun","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Ei","egg","die Eier","n","n","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Eintopf","stew","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Eis","ice, ice cream","-","n","n","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Essig","vinegar","no real plural, just e.g. die Essigflaschen","noun","m","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Fisch","fish","die Fische","noun","m","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Fleisch","meat","/","noun","n","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Forelle","trout","die Forellen","n","f","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Haferflocken","rolled oats (porridge)","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Hähnchen","chicken [gastr.]","[hençɛn]","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Hamburger","the hamburger","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Joghurt","yogurt","die Joghurts","n","n","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Kalbfleisch","veal","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Käse","cheese","die Käse","n","m","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Keks","cookie","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Knödel","dumpling","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Kopfsalat","lettuce","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Kuchen","cake","die Kuchen","","m","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Lachs","salmon","die Lachse","n","m","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Lamm","lamb","die Lämmer","n","n","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Marmelade","the jam","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Meeresfrüchte","seafood","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Möhre","carrot","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Nudeln","pasta","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Öl","oil","die Öle","n","n","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Omelett","omelet","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Pfeffer","black pepper, chili/hot pepper","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Pizza","pizza","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Pommes (Frites)","chips","chips","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Praline","filled chocolate (in a box of chocolates)","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Reis","rice","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Rindfleisch","the beef","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Sahne","cream","-","n","f","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Salz","salt","","noun","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Salzkartoffeln","boiled potatoes","boiled potatoes","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Sauerkraut","sauerkraut","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Schinken","ham","die Schinken","n","m","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Schokolade","chocolate","die Schokoladen","noun","f","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Schweinefleisch","pork","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Senf","mustard","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Spaghetti","spaghetti","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Spezialität","speciality","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Spiegelei","fried egg","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"das Steak","steak","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Suppe","soup","die Suppen","noun","feminine","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Süssigkeit","candy","sweet","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"der Toast","the toast","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
"die Torte","the cake","","","","AQA_German_GCSE_Vocab_List::13_General_Food"
